bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
4,4,1620000,583,0,2778,Jumeirah Park
7,7,14160000,1579,0,8967,Al Barari
4,3,1344000,182,0,7384,Jumeirah Golf Estates
7,6,6000000,724,1,8287,Jumeirah
2,2,861600,166,0,5190,The Springs
1,0,180000,41,0,4390,Dubai Studio City
1,0,129600,36,1,3600,Al Furjan
5,4,1080000,287,0,3763,Meydan
6,4,9360000,1030,1,9087,Jumeirah
6,4,2520000,542,0,4649,The Oasis by Emaar
6,5,2040000,544,0,3750,Saadiyat Island
5,3,720000,235,0,3063,Jumeirah Village Circle
5,4,2088000,446,0,4681,Yas Island
1,0,120000,40,1,3000,Dubai South (Dubai World Central)
1,0,144000,27,0,5333,Meydan
4,2,1245600,249,0,5002,Jumeirah Village Triangle
1,0,122400,31,1,3948,DAMAC Hills
5,4,933333,329,0,2836,Dubai South (Dubai World Central)
7,7,1728000,1393,0,1240,Al Twar
4,3,600000,189,0,3174,Town Square
2,1,564000,107,0,5271,Downtown Dubai
2,1,228000,71,0,3211,DAMAC Hills
2,1,224640,57,0,3941,Jumeirah Village Circle
4,3,960000,207,0,4637,Jumeirah Golf Estates
1,0,864000,78,1,11076,Jumeirah Beach Residence
5,4,804000,263,0,3057,Mudon
6,6,2399999,943,0,2545,The Villa
5,4,816000,236,0,3457,Reem
4,2,1512000,184,0,8217,Saadiyat Island
2,1,160800,66,0,2436,Dubai Residence Complex
4,3,324000,146,0,2219,Dubai Sports City
3,2,432000,138,0,3130,Arjan
3,3,1656000,156,0,10615,Dubai Harbour
4,3,588000,181,0,3248,Mudon
7,6,3360000,799,0,4205,Dubai South (Dubai World Central)
5,5,1224000,570,0,2147,The Villa
4,4,1163999,315,0,3695,Dubai Sports City
1,1,364800,81,1,4503,Yas Island
2,2,324000,84,0,3857,Town Square
3,2,804000,112,0,7178,City Walk
3,3,1740000,177,1,9830,Dubai Harbour
4,3,792000,148,0,5351,Dubai Creek Harbour (The Lagoons)
1,0,118800,40,0,2970,Jumeirah Village Circle
5,3,420000,174,0,2413,Damac Hills 2
3,2,756000,179,1,4223,DIFC
5,4,686400,371,0,1850,Jumeirah Village Circle
5,4,3000000,371,0,8086,Jumeirah Park
7,6,8400000,821,0,10231,Dubai Hills Estate
